BUYER_STATE,QUANTITY,MME,lat,lon
Alaska,2408,5597541.279,64.4459613,-149.680909
Alabama,20890,58757412.77,33.2588817,-86.8295337
Arkansas,27302,66778904.92,35.2048883,-92.4479108
American Samoa,11,15245.12,-14.289304,-170.692511
Arizona,72222,205893756.1,34.395342,-111.7632755
California,256379,656985917.5,36.7014631,-118.7559974
Colorado,32732,64764798.71,38.7251776,-105.6077167
Connecticut,18482,33509880.68,41.6500201,-72.7342163
District of Columbia,1329,2536604.274,38.8936613,-76.9878833
Delaware,2368,6811273.373,38.6920451,-75.4013315
Florida,2672383,480346176.9,27.7567667,-81.4639835
Georgia,2164553,162228321.7,33.247875,-83.441162
Guam,96,322574.08,13.4501257,144.757551
Hawaii,11714,34695285.21,21.2160437,-157.975203
Iowa,6625,15829716.39,41.9216734,-93.3122705
Idaho,4551,11465244.33,43.6447642,-114.0154071
Illinois,59628,155579830.3,40.0796606,-89.4337288
Indiana,21533,59741039.41,40.3270127,-86.1746933
Kansas,7182,19870197.44,38.27312,-98.5821872
Kentucky,155722,55822121.49,37.5726028,-85.1551411
Louisiana,31213,98989324.48,30.8703881,-92.007126
Massachusetts,57968,105589663.9,42.3788774,-72.032366
Maryland,22788,47411259.52,39.5162234,-76.9382069
Maine,4728,10131893.48,45.709097,-68.8590201
Michigan,44140,143473715.3,43.6211955,-84.6824346
Minnesota,15984,30944532.73,45.9896587,-94.6113288
Missouri,45953,125437720.6,38.7604815,-92.5617875
Northern Marianas,19,34715.2,14.1490205,145.2134525
Mississippi,26538,71705325.6,32.9715645,-89.7348497
Montana,4398,10673827.89,47.3752671,-109.6387579
North Carolina,4398926,7361071254,35.6729639,-79.0392919
North Dakota,1814,3869026.623,47.6201461,-100.540737
Nebraska,5101,12554502.02,41.7370229,-99.5873816
New Hampshire,6062,13528475.02,43.4849133,-71.6553992
New Jersey,398669,655516240.6,40.0757384,-74.4041622
New Mexico,6733,15585836.1,34.5708167,-105.993007
Nevada,15378,43099350.34,39.5158825,-116.8537227
New York,770987,187117665.8,42.7127281,-75.0090152
Ohio,57330,169494401.5,40.2253569,-82.6881395
Oklahoma,31343,99573865.3,34.9550817,-97.2684063
Oregon,29455,64167506.29,43.9792797,-120.737257
Pennsylvania,54795,153233740.2,40.9699889,-77.7278831
Puerto Rico,566,1685654.88,18.2214149,-66.4132818
Rhode Island,4696,10327095.75,41.7962409,-71.5992372
South Carolina,20910,53671633.34,33.6874388,-80.4363743
South Dakota,1482,3447503.902,44.6471761,-100.348761
Tennessee,66999,199166423.3,35.7730076,-86.2820081
Texas,105661,175510963.2,31.8160381,-99.5120986
Utah,14997,41205801.15,39.4225192,-111.7143584
Virginia,41610,93526163.77,38.1132245,-77.9927721
Virgin Islands,36,80481.28,17.789187,-64.7080574
Vermont,3141,6900325.117,44.5990718,-72.5002608
Washington,59245,113843123.2,47.7510765,-120.740135
Wisconsin,22185,52723575.03,44.4308975,-89.6884637
West Virginia,26851,75604505.13,38.4758406,-80.8408415
Wyoming,2394,5283412.708,43.1700264,-107.5685348