BUYER_STATE,QUANTITY,MME
Alaska,2408,5597541.279
Alabama,20890,58757412.77
Arkansas,27302,66778904.92
American Samoa,11,15245.12
Arizona,72222,205893756.1
California,256379,656985917.5
Colorado,32732,64764798.71
Connecticut,18482,33509880.68
District of Columbia,1329,2536604.274
Delaware,2368,6811273.373
Florida,2672383,480346176.9
Georgia,2164553,162228321.7
Guam,96,322574.08
Hawaii,11714,34695285.21
Iowa,6625,15829716.39
Idaho,4551,11465244.33
Illinois,59628,155579830.3
Indiana,21533,59741039.41
Kansas,7182,19870197.44
Kentucky,155722,55822121.49
Louisiana,31213,98989324.48
Massachusetts,57968,105589663.9
Maryland,22788,47411259.52
Maine,4728,10131893.48
Michigan,44140,143473715.3
Minnesota,15984,30944532.73
Missouri,45953,125437720.6
Northern Marianas,19,34715.2
Mississippi,26538,71705325.6
Montana,4398,10673827.89
North Carolina,4398926,7361071254
North Dakota,1814,3869026.623
Nebraska,5101,12554502.02
New Hampshire,6062,13528475.02
New Jersey,398669,655516240.6
New Mexico,6733,15585836.1
Nevada,15378,43099350.34
New York,770987,187117665.8
Ohio,57330,169494401.5
Oklahoma,31343,99573865.3
Oregon,29455,64167506.29
Pennsylvania,54795,153233740.2
Puerto Rico,566,1685654.88
Rhode Island,4696,10327095.75
South Carolina,20910,53671633.34
South Dakota,1482,3447503.902
Tennessee,66999,199166423.3
Texas,105661,175510963.2
Utah,14997,41205801.15
Virginia,41610,93526163.77
Virgin Islands,36,80481.28
Vermont,3141,6900325.117
Washington,59245,113843123.2
Wisconsin,22185,52723575.03
West Virginia,26851,75604505.13
Wyoming,2394,5283412.708