BUYER_STATE,QUANTITY,MME,lat,lon,population
Alaska,2408,5597541.279,64.4459613,-149.680909,710231
Alabama,20890,58757412.77,33.2588817,-86.8295337,4779736
Arkansas,27302,66778904.92,35.2048883,-92.4479108,2915918
Arizona,72222,205893756.1,34.395342,-111.7632755,6392017
California,256379,656985917.5,36.7014631,-118.7559974,37253956
Colorado,32732,64764798.71,38.7251776,-105.6077167,5029196
Connecticut,18482,33509880.68,41.6500201,-72.7342163,3574097
District of Columbia,1329,2536604.274,38.8936613,-76.9878833,601723
Delaware,2368,6811273.373,38.6920451,-75.4013315,897934
Florida,2672383,480346176.9,27.7567667,-81.4639835,18801310
Georgia,2164553,162228321.7,33.247875,-83.441162,9687653
Hawaii,11714,34695285.21,21.2160437,-157.975203,1360301
Iowa,6625,15829716.39,41.9216734,-93.3122705,3046355
Idaho,4551,11465244.33,43.6447642,-114.0154071,1567582
Illinois,59628,155579830.3,40.0796606,-89.4337288,12830632
Indiana,21533,59741039.41,40.3270127,-86.1746933,6483802
Kansas,7182,19870197.44,38.27312,-98.5821872,2853118
Kentucky,155722,55822121.49,37.5726028,-85.1551411,4339367
Louisiana,31213,98989324.48,30.8703881,-92.007126,4533372
Massachusetts,57968,105589663.9,42.3788774,-72.032366,6547629
Maryland,22788,47411259.52,39.5162234,-76.9382069,5773552
Maine,4728,10131893.48,45.709097,-68.8590201,1328361
Michigan,44140,143473715.3,43.6211955,-84.6824346,9883640
Minnesota,15984,30944532.73,45.9896587,-94.6113288,5303925
Missouri,45953,125437720.6,38.7604815,-92.5617875,5988927
Mississippi,26538,71705325.6,32.9715645,-89.7348497,2967297
Montana,4398,10673827.89,47.3752671,-109.6387579,989415
North Carolina,4398926,7361071254,35.6729639,-79.0392919,9535483
North Dakota,1814,3869026.623,47.6201461,-100.540737,672591
Nebraska,5101,12554502.02,41.7370229,-99.5873816,1826341
New Hampshire,6062,13528475.02,43.4849133,-71.6553992,1316470
New Jersey,398669,655516240.6,40.0757384,-74.4041622,8791894
New Mexico,6733,15585836.1,34.5708167,-105.993007,2059179
Nevada,15378,43099350.34,39.5158825,-116.8537227,2700551
New York,770987,187117665.8,42.7127281,-75.0090152,19378102
Ohio,57330,169494401.5,40.2253569,-82.6881395,11536504
Oklahoma,31343,99573865.3,34.9550817,-97.2684063,3751351
Oregon,29455,64167506.29,43.9792797,-120.737257,3831074
Pennsylvania,54795,153233740.2,40.9699889,-77.7278831,12702379
Rhode Island,4696,10327095.75,41.7962409,-71.5992372,1052567
South Carolina,20910,53671633.34,33.6874388,-80.4363743,4625364
South Dakota,1482,3447503.902,44.6471761,-100.348761,814180
Tennessee,66999,199166423.3,35.7730076,-86.2820081,6346105
Texas,105661,175510963.2,31.8160381,-99.5120986,25145561
Utah,14997,41205801.15,39.4225192,-111.7143584,2763885
Virginia,41610,93526163.77,38.1132245,-77.9927721,8001024
Vermont,3141,6900325.117,44.5990718,-72.5002608,625741
Washington,59245,113843123.2,47.7510765,-120.740135,6724540
Wisconsin,22185,52723575.03,44.4308975,-89.6884637,5686986
West Virginia,26851,75604505.13,38.4758406,-80.8408415,1852994
Wyoming,2394,5283412.708,43.1700264,-107.5685348,563626